agent,task_id,label,prompt_matches
operator_hitl_2025,2,Success,true
operator_hitl_2025,19,Success,true
operator_hitl_2025,20,Failure,true
operator_hitl_2025,22,Success,true
operator_hitl_2025,33,Success,true
operator_hitl_2025,35,Success,true
operator_hitl_2025,51,Failure,true
operator_hitl_2025,56,Failure,true
operator_hitl_2025,63,Success,true
operator_hitl_2025,67,Success,true
operator_hitl_2025,73,Success,true
operator_hitl_2025,80,Success,true
operator_hitl_2025,93,Success,true
operator_hitl_2025,102,Success,true
operator_hitl_2025,104,Success,true
operator_hitl_2025,113,Success,true
operator_hitl_2025,125,Success,true
operator_hitl_2025,129,Success,true
operator_hitl_2025,139,Success,true
operator_hitl_2025,140,Success,true
operator_hitl_2025,149,Success,true
operator_hitl_2025,151,Failure,true
operator_hitl_2025,159,Failure,true
operator_hitl_2025,162,Success,true
operator_hitl_2025,172,Success,true
operator_hitl_2025,180,Success,true
operator_hitl_2025,183,Success,true
operator_hitl_2025,198,Failure,true
operator_hitl_2025,206,Success,true
operator_hitl_2025,209,Success,true
operator_hitl_2025,213,Success,true
operator_hitl_2025,220,Success,true
operator_hitl_2025,221,Failure,true
operator_hitl_2025,222,Success,true
operator_hitl_2025,228,Success,true
operator_hitl_2025,231,Success,true
operator_hitl_2025,236,Success,true
operator_hitl_2025,247,Failure,true
operator_hitl_2025,249,Failure,true
operator_hitl_2025,256,Success,true
operator_hitl_2025,261,Failure,true
operator_hitl_2025,264,Success,true
operator_hitl_2025,266,Success,true
operator_hitl_2025,267,Success,true
operator_hitl_2025,269,Success,true
operator_hitl_2025,292,Success,true
operator_hitl_2025,299,Failure,true
operator_hitl_2025,306,Failure,true
operator_hitl_2025,308,Success,true
operator_hitl_2025,323,Success,true
operator_hitl_2025,328,Success,true
operator_hitl_2025,331,Success,true
operator_hitl_2025,332,Success,true
operator_hitl_2025,334,Success,true
operator_hitl_2025,364,Failure,true
operator_hitl_2025,368,Success,true
operator_hitl_2025,375,Success,true
operator_hitl_2025,376,Success,true
operator_hitl_2025,377,Success,true
operator_hitl_2025,378,Failure,true
operator_hitl_2025,391,Success,true
operator_hitl_2025,397,Success,true
operator_hitl_2025,403,Success,true
operator_hitl_2025,412,Success,true
operator_hitl_2025,417,Success,true
operator_hitl_2025,418,Failure,true
operator_hitl_2025,420,Success,true
operator_hitl_2025,421,Success,true
operator_hitl_2025,424,Success,true
operator_hitl_2025,425,Success,true
operator_hitl_2025,430,Success,true
operator_hitl_2025,432,Failure,true
operator_hitl_2025,433,Success,true
operator_hitl_2025,445,Failure,true
operator_hitl_2025,446,Success,true
operator_hitl_2025,449,Success,true
operator_hitl_2025,453,Success,true
operator_hitl_2025,460,Success,true
operator_hitl_2025,481,Success,true
operator_hitl_2025,488,Failure,true
operator_hitl_2025,495,Success,true
operator_hitl_2025,505,Success,true
operator_hitl_2025,508,Failure,true
operator_hitl_2025,517,Success,true
operator_hitl_2025,519,Success,true
operator_hitl_2025,521,Success,true
operator_hitl_2025,537,Success,true
operator_hitl_2025,538,Success,true
operator_hitl_2025,543,Success,true
operator_hitl_2025,545,Success,true
operator_hitl_2025,552,Success,true
operator_hitl_2025,553,Failure,true
operator_hitl_2025,554,Success,true
operator_hitl_2025,564,Success,true
operator_hitl_2025,565,Success,true
operator_hitl_2025,567,Success,true
operator_hitl_2025,574,Success,true
operator_hitl_2025,577,Success,true
operator_hitl_2025,578,Success,true
operator_hitl_2025,582,Success,true
operator_hitl_2025,591,Failure,true
operator_hitl_2025,604,Success,true
operator_hitl_2025,608,Failure,true
operator_hitl_2025,609,Failure,true
operator_hitl_2025,612,Success,true
operator_hitl_2025,615,Success,true
operator_hitl_2025,622,Success,true
operator_hitl_2025,652,Success,true
operator_hitl_2025,660,Success,true
operator_hitl_2025,661,Failure,true
operator_hitl_2025,672,Success,true
operator_hitl_2025,680,Success,true
operator_hitl_2025,687,Success,true
operator_hitl_2025,688,Failure,true
operator_hitl_2025,689,Success,true
operator_hitl_2025,695,Failure,true
operator_hitl_2025,703,Success,true
operator_hitl_2025,710,Success,true
operator_hitl_2025,715,Success,true
operator_hitl_2025,746,Success,true
operator_hitl_2025,751,Success,true
operator_hitl_2025,756,Success,true
operator_hitl_2025,758,Success,true
operator_hitl_2025,765,Success,true
operator_hitl_2025,771,Failure,true
operator_hitl_2025,775,Success,true
operator_hitl_2025,782,Success,true
operator_hitl_2025,793,Success,true
operator_hitl_2025,799,Success,true
operator_hitl_2025,804,Failure,true
operator_hitl_2025,819,Failure,true
operator_hitl_2025,827,Success,true
operator_hitl_2025,839,Success,true
operator_hitl_2025,850,Success,true
operator_hitl_2025,854,Success,true
operator_hitl_2025,856,Failure,true
operator_hitl_2025,860,Failure,true
operator_hitl_2025,861,Failure,true
operator_hitl_2025,873,Success,true
operator_hitl_2025,875,Success,true
operator_hitl_2025,883,Success,true
operator_hitl_2025,885,Success,true
operator_hitl_2025,890,Success,true
operator_hitl_2025,895,Success,true
operator_hitl_2025,897,Success,true
operator_hitl_2025,905,Failure,true
operator_hitl_2025,913,Failure,true
operator_hitl_2025,916,Success,true
operator_hitl_2025,919,Failure,true
operator_hitl_2025,927,Failure,true
operator_hitl_2025,943,Failure,true
operator_hitl_2025,945,Success,true
operator_hitl_2025,948,Failure,true
operator_hitl_2025,953,Failure,true
operator_hitl_2025,958,Success,true
operator_hitl_2025,960,Success,true
operator_hitl_2025,977,Failure,true
operator_hitl_2025,980,Failure,true
operator_hitl_2025,981,Failure,true
operator_hitl_2025,992,Success,true
operator_hitl_2025,995,Success,true
operator_hitl_2025,1015,Success,true
operator_hitl_2025,1017,Success,true
operator_hitl_2025,1021,Success,true
operator_hitl_2025,1033,Success,true
operator_hitl_2025,1041,Success,true
operator_hitl_2025,1043,Success,true
operator_hitl_2025,1050,Failure,true
operator_hitl_2025,1052,Success,true
operator_hitl_2025,1053,Success,true
operator_hitl_2025,1057,Success,true
operator_hitl_2025,1063,Success,true
operator_hitl_2025,1084,Success,true
operator_hitl_2025,1087,Failure,true
operator_hitl_2025,1094,Failure,true
operator_hitl_2025,1096,Failure,true
operator_hitl_2025,1106,Success,true
operator_hitl_2025,1107,Failure,true
operator_hitl_2025,1109,Failure,true
operator_hitl_2025,1110,Failure,true
operator_hitl_2025,1126,Success,true
operator_hitl_2025,1134,Success,true
operator_hitl_2025,1144,Success,true
operator_hitl_2025,1147,Success,true
operator_hitl_2025,1154,Success,true
operator_hitl_2025,1166,Success,true
operator_hitl_2025,1197,Failure,true
operator_hitl_2025,1198,Success,true
operator_hitl_2025,1210,Success,true
operator_hitl_2025,1212,Success,true
operator_hitl_2025,1224,Success,true
operator_hitl_2025,1230,Failure,true
operator_hitl_2025,1231,Failure,true
operator_hitl_2025,1233,Success,true
operator_hitl_2025,1236,Success,true
operator_hitl_2025,1240,Success,true
operator_hitl_2025,1241,Success,true
operator_hitl_2025,1245,Success,true
operator_hitl_2025,1246,Success,true
operator_hitl_2025,1254,Success,true
operator_hitl_2025,1257,Success,true
operator_hitl_2025,1259,Success,true
operator_hitl_2025,1270,Success,true
operator_hitl_2025,1307,Success,true
operator_hitl_2025,1321,Success,true
operator_hitl_2025,1324,Success,true
operator_hitl_2025,1356,Success,true
operator_hitl_2025,1359,Success,true
operator_hitl_2025,1360,Success,true
operator_hitl_2025,1364,Failure,true
operator_hitl_2025,1365,Success,true
operator_hitl_2025,1369,Success,true
operator_hitl_2025,1377,Success,true
operator_hitl_2025,1392,Success,true
operator_hitl_2025,1395,Success,true
operator_hitl_2025,1400,Success,true
operator_hitl_2025,1407,Failure,true
operator_hitl_2025,1413,Success,true
operator_hitl_2025,1416,Failure,true
operator_hitl_2025,1417,Success,true
operator_hitl_2025,1428,Success,true
operator_hitl_2025,1438,Success,true
operator_hitl_2025,1448,Success,true
operator_hitl_2025,1456,Success,true
operator_hitl_2025,1464,Success,true
operator_hitl_2025,1466,Success,true
operator_hitl_2025,1468,Success,true
operator_hitl_2025,1469,Success,true
operator_hitl_2025,1470,Success,true
operator_hitl_2025,1472,Failure,true
operator_hitl_2025,1478,Success,true
operator_hitl_2025,1491,Failure,true
operator_hitl_2025,1503,Failure,true
operator_hitl_2025,1504,Success,true
operator_hitl_2025,1522,Failure,true
operator_hitl_2025,1520,Failure,true
operator_hitl_2025,1525,Success,true
operator_hitl_2025,1528,Success,true
operator_hitl_2025,1539,Success,true
operator_hitl_2025,1545,Success,true
operator_hitl_2025,1546,Success,true
operator_hitl_2025,1550,Success,true
operator_hitl_2025,1551,Success,true
operator_hitl_2025,1553,Success,true
operator_hitl_2025,1555,Success,true
operator_hitl_2025,1566,Success,true
operator_hitl_2025,1573,Success,true
operator_hitl_2025,1586,Success,true
operator_hitl_2025,1591,Success,true
operator_hitl_2025,1601,Success,true
operator_hitl_2025,1605,Failure,true
operator_hitl_2025,1609,Success,true
operator_hitl_2025,1625,Success,true
operator_hitl_2025,1635,Success,true
operator_hitl_2025,1640,Success,true
operator_hitl_2025,1642,Success,true
operator_hitl_2025,1644,Success,true
operator_hitl_2025,1658,Failure,true
operator_hitl_2025,1661,Success,true
operator_hitl_2025,1662,Failure,true
operator_hitl_2025,1669,Success,true
operator_hitl_2025,1671,Failure,true
operator_hitl_2025,1676,Failure,true
operator_hitl_2025,1690,Success,true
operator_hitl_2025,1692,Success,true
operator_hitl_2025,1698,Failure,true
operator_hitl_2025,1704,Success,true
operator_hitl_2025,1705,Success,true
operator_hitl_2025,1713,Success,true
operator_hitl_2025,1723,Success,true
operator_hitl_2025,1729,Failure,true
operator_hitl_2025,1732,Success,true
operator_hitl_2025,1745,Success,true
operator_hitl_2025,1750,Success,true
operator_hitl_2025,1761,Success,true
operator_hitl_2025,1765,Failure,true
operator_hitl_2025,1768,Failure,true
operator_hitl_2025,1769,Success,true
operator_hitl_2025,1774,Success,true
